"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation"	214.116287769505	0.302837931846315	0.101472223764287	2.98444165912622	0.00284096372582574	0.0112673660076948
"Adipocytokine signaling pathway"	2478.85982743971	-0.147059555185709	0.0320724017855373	-4.58523674556932	4.53472311681948e-06	7.12218277759294e-05
"Amino acid metabolism"	10267.8130960477	0.0751274214059958	0.0232911763515156	3.22557436653933	0.00125720169615281	0.00588899741882108
"Amino acid related enzymes"	54202.6791522839	-0.0646596598587844	0.0201979969576398	-3.20129070196374	0.00136813427478516	0.00629813536840755
"Aminoacyl-tRNA biosynthesis"	36630.336974822	-0.179585472600835	0.0377992314422998	-4.7510350276558	2.02378067992554e-06	4.91226765036473e-05
"Aminobenzoate degradation"	13984.1577204864	-0.141922787229266	0.0514775997023011	-2.756981445328	0.0058337661750014	0.0185430424848259
"Amoebiasis"	218.130603052139	-0.361646695959831	0.0987018858575136	-3.66403025451717	0.000248277439349003	0.00150659264332236
"Ascorbate and aldarate metabolism"	5446.5954815008	-0.106431139797386	0.0391980819201383	-2.71521295389472	0.00662331656205698	0.0198699496861709
"Bacterial chemotaxis"	22135.8164032831	0.31114295308969	0.0796648620150081	3.90564855344974	9.39730066510748e-05	0.000896099741994178
"Bacterial motility proteins"	49922.6001145168	0.30731029195518	0.0812924821208165	3.78030395847006	0.000156637013291968	0.0011993188806242
"Bacterial toxins"	2254.20448633666	0.225746081258135	0.0595500293041915	3.79086431855452	0.000150123951866815	0.0011993188806242
"Base excision repair"	14797.9330189417	-0.078515617637667	0.0211862459160214	-3.70597122061593	0.000210582212003874	0.00138663164831042
"Betalain biosynthesis"	97.6449368487919	-0.295794168234907	0.0994046748415027	-2.97565651420861	0.00292362119627574	0.0112673660076948
"Bile secretion"	206.5912367686	0.494111402217078	0.0986359695493509	5.00944436876912	5.45874025205752e-07	1.8218545591242e-05
"Biosynthesis of 12-, 14- and 16-membered macrolides"	98.2132189154843	0.469963050316622	0.101332647269068	4.63782465949726	3.5209528018232e-06	5.87558998804246e-05
"Biosynthesis of ansamycins"	2509.72866582847	-0.125041736152905	0.0438509308093924	-2.85151840211618	0.00435109676537236	0.0147056055234737
