"trinID"	"orfID"	"uniprotID"	"up.perct.id"	"up.alignment.length"	"up.mistmatches"	"up.gap.openings"	"up.q.start"	"up.q.end"	"up.s.start"	"up.s.end"	"up.e.value"	"up.bit.score"	"Entry"	"Status"	"Protein.names"	"Gene.names"	"Organism"	"Length"	"Gene.ontology.IDs"	"Gene.ontology..GO."	"Gene.ontology..biological.process."	"Gene.ontology..molecular.function."	"Gene.ontology..cellular.component."	"Cross.reference..PANTHER."	"Cross.reference..Pfam."	"Cross.reference..eggNOG."	"Taxonomic.lineage..SUPERKINGDOM."	"Taxonomic.lineage..KINGDOM."	"Taxonomic.lineage..PHYLUM."	"Taxonomic.lineage..all."	"type"	"len"	"strand"	"GI"	"Ginum"	"db"	"seqID"	"nr.annotation"	"nr.perct.id"	"nr.alignment.length"	"nr.mistmatches"	"nr.gap.openings"	"nr.q.start"	"nr.q.end"	"nr.s.start"	"nr.s.end"	"nr.e.value"	"nr.bit.score"
"1"	"TRINITY_DN1000_c0_g1_TRINITY_DN1000_c0_g1_i1_g.101_m.101"	"Gene.8889::TRINITY_DN1000_c0_g1_TRINITY_DN1000_c0_g1_i1_g.101_m.101::g.8889::m.8889"	"SYDND_DEHMC"	38.18	55	22	3	87	129	253	307	0.1	35.8	"Q3ZX84"	"reviewed"	"Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)"	"aspS cbdbA663"	"Dehalococcoides mccartyi (strain CBDB1)"	598	"GO:0003676; GO:0005524; GO:0005737; GO:0006418; GO:0050560"	"cytoplasm [GO:0005737]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; tRNA aminoacylation for protein translation [GO:0006418]"	"tRNA aminoacylation for protein translation [GO:0006418]"	"aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]"	"cytoplasm [GO:0005737]"	"PTHR22594;PTHR22594:SF40;"	"PF02938;PF00152;PF01336;"	"ENOG4105C9M;COG0173;"	"Bacteria"	""	"Chloroflexi"	"cellular organisms, Bacteria, Terrabacteria group, Chloroflexi, Dehalococcoidia, Dehalococcoidales, Dehalococcoidaceae, Dehalococcoides, Dehalococcoides mccartyi, Dehalococcoides mccartyi (strain CBDB1)"	"type:internal"	"len:146"	"TRINITY_DN1000_c0_g1_TRINITY_DN1000_c0_g1_i1_g.101_m.101:1-435(+)"	"gi"	390355486	"ref"	"XP_003728558.1"	"PREDICTED: uncharacterized protein LOC100893473 [Strongylocentrotus purpuratus]"	46.3	162	61	3	1	435	252	404	7.5e-27	128.6
"7"	"TRINITY_DN10033_c0_g1_TRINITY_DN10033_c0_g1_i1_g.855_m.855"	"Gene.5011::TRINITY_DN10033_c0_g1_TRINITY_DN10033_c0_g1_i1_g.855_m.855::g.5011::m.5011"	"TAL_SYNPX"	48	50	18	2	93	142	335	376	0.001	42.7	"Q7U5E8"	"reviewed"	"Transaldolase (EC 2.2.1.2)"	"tal SYNW1759"	"Synechococcus sp. (strain WH8102)"	390	"GO:0004801; GO:0005509; GO:0005737; GO:0005975; GO:0006098"	"cytoplasm [GO:0005737]; calcium ion binding [GO:0005509]; sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity [GO:0004801]; carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]"	"carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]"	"calcium ion binding [GO:0005509]; sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity [GO:0004801]"	"cytoplasm [GO:0005737]"	"PTHR10683;PTHR10683:SF22;"	"PF13202;PF00923;"	"ENOG4105CW3;COG0176;"	"Bacteria"	""	"Cyanobacteria"	"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Synechococcaceae, Synechococcus, Synechococcus sp. (strain WH8102)"	"type:3prime_partial"	"len:219"	"TRINITY_DN10033_c0_g1_TRINITY_DN10033_c0_g1_i1_g.855_m.855:1-654(+)"	"gi"	390357307	"ref"	"XP_003728978.1"	"PREDICTED: uncharacterized protein LOC100892379 [Strongylocentrotus purpuratus]"	39.7	126	73	2	268	636	72	197	7.6e-15	89.4
"9"	"TRINITY_DN10051_c0_g1_TRINITY_DN10051_c0_g1_i1_g.860_m.860"	"Gene.8789::TRINITY_DN10051_c0_g1_TRINITY_DN10051_c0_g1_i1_g.860_m.860::g.8789::m.8789"	"PYRB_SODGM"	36.11	72	36	4	35	104	77	140	0.34	33.9	"Q2NR35"	"reviewed"	"Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)"	"pyrB SG2115"	"Sodalis glossinidius (strain morsitans)"	314	"GO:0004070; GO:0006207; GO:0006520; GO:0016597; GO:0044205"	"amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; cellular amino acid metabolic process [GO:0006520]"	"'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; cellular amino acid metabolic process [GO:0006520]"	"amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]"	""	"PTHR11405:SF53;"	"PF00185;PF02729;"	"ENOG4105CXT;COG0540;"	"Bacteria"	""	"Proteobacteria"	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pectobacteriaceae, Sodalis (tsetse S-endosymbionts), Sodalis glossinidius, Sodalis glossinidius (strain morsitans)"	"type:internal"	"len:147"	"TRINITY_DN10051_c0_g1_TRINITY_DN10051_c0_g1_i1_g.860_m.860:1-438(+)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	"TRINITY_DN10097_c0_g1_TRINITY_DN10097_c0_g1_i1_g.871_m.871"	"Gene.15602::TRINITY_DN10097_c0_g1_TRINITY_DN10097_c0_g1_i1_g.871_m.871::g.15602::m.15602"	"CDIB_DICD3"	43.48	92	48	3	8	99	389	476	4e-12	65.5	"E0SDG9"	"reviewed"	"Outer membrane transporter CdiB"	"cdiB hecB Dda3937_04154"	"Dickeya dadantii (strain 3937) (Erwinia chrysanthemi (strain 3937))"	558	"GO:0006811; GO:0009279; GO:0015031; GO:0015288; GO:0046930"	"cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]; protein transport [GO:0015031]"	"ion transport [GO:0006811]; protein transport [GO:0015031]"	"porin activity [GO:0015288]"	"cell outer membrane [GO:0009279]; pore complex [GO:0046930]"	""	"PF08479;PF03865;"	"ENOG4105D5K;COG2831;"	"Bacteria"	""	"Proteobacteria"	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pectobacteriaceae, Dickeya, Dickeya dadantii, Dickeya dadantii (strain 3937) (Erwinia chrysanthemi (strain 3937))"	"type:internal"	"len:103"	"TRINITY_DN10097_c0_g1_TRINITY_DN10097_c0_g1_i1_g.871_m.871:2-307(+)"	"gi"	916957260	"ref"	"WP_051563972.1"	"hypothetical protein [Pseudomonas pseudoalcaligenes]"	41	100	59	0	5	304	383	482	2.2e-17	96.7
"33"	"TRINITY_DN10123_c0_g1_TRINITY_DN10123_c0_g1_i1_g.880_m.880"	"Gene.10170::TRINITY_DN10123_c0_g1_TRINITY_DN10123_c0_g1_i1_g.880_m.880::g.10170::m.10170"	"ATPA_DESRM"	30.67	75	43	2	57	122	77	151	1.6	32	"A4J9A1"	"reviewed"	"ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)"	"atpA Dred_3152"	"Desulfotomaculum reducens (strain MI-1)"	501	"GO:0005524; GO:0005886; GO:0015986; GO:0045261; GO:0046933"	"plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; ATP synthesis coupled proton transport [GO:0015986]"	"ATP synthesis coupled proton transport [GO:0015986]"	"ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]"	"plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]"	"PTHR42875;"	"PF00006;PF00306;PF02874;"	"ENOG4105CDG;COG0056;"	"Bacteria"	""	"Firmicutes"	"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfotomaculum, Desulfotomaculum reducens, Desulfotomaculum reducens (strain MI-1)"	"type:internal"	"len:133"	"TRINITY_DN10123_c0_g1_TRINITY_DN10123_c0_g1_i1_g.880_m.880:1-396(+)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36"	"TRINITY_DN10137_c0_g1_TRINITY_DN10137_c0_g1_i1_g.883_m.883"	"Gene.16281::TRINITY_DN10137_c0_g1_TRINITY_DN10137_c0_g1_i1_g.883_m.883::g.16281::m.16281"	"ISPDF_WOLTR"	35.59	59	37	1	14	71	31	89	0.43	32.3	"Q5GSM7"	"reviewed"	"Bifunctional enzyme IspD/IspF [Includes: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT); 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)]"	"ispDF Wbm0409"	"Wolbachia sp. subsp. Brugia malayi (strain TRS)"	405	"GO:0008685; GO:0016114; GO:0019288; GO:0046872; GO:0050518"	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity [GO:0050518]; metal ion binding [GO:0046872]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]"	"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]"	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity [GO:0050518]; metal ion binding [GO:0046872]"	""	""	"PF01128;PF02542;"	"ENOG4108UH8;COG0245;COG1211;"	"Bacteria"	""	"Proteobacteria"	"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Wolbachieae, Wolbachia, Wolbachia endosymbiont of Brugia malayi, Wolbachia sp. subsp. Brugia malayi (strain TRS)"	"type:internal"	"len:102"	"TRINITY_DN10137_c0_g1_TRINITY_DN10137_c0_g1_i1_g.883_m.883:1-303(+)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	"TRINITY_DN10154_c0_g1_TRINITY_DN10154_c0_g1_i1_g.887_m.887"	"Gene.16362::TRINITY_DN10154_c0_g1_TRINITY_DN10154_c0_g1_i1_g.887_m.887::g.16362::m.16362"	"KINA_BACSU"	34.09	44	28	1	2	44	96	139	2.9	30	"P16497"	"reviewed"	"Sporulation kinase A (EC 2.7.13.3) (Stage II sporulation protein F) (Stage II sporulation protein J)"	"kinA gsiC scoD spoIIF spoIIJ BSU13990"	"Bacillus subtilis (strain 168)"	606	"GO:0000155; GO:0005524; GO:0005622; GO:0006355; GO:0030435; GO:0042802; GO:0043938"	"intracellular [GO:0005622]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; phosphorelay sensor kinase activity [GO:0000155]; positive regulation of sporulation [GO:0043938]; regulation of transcription, DNA-templated [GO:0006355]; sporulation resulting in formation of a cellular spore [GO:0030435]"	"positive regulation of sporulation [GO:0043938]; regulation of transcription, DNA-templated [GO:0006355]; sporulation resulting in formation of a cellular spore [GO:0030435]"	"ATP binding [GO:0005524]; identical protein binding [GO:0042802]; phosphorelay sensor kinase activity [GO:0000155]"	"intracellular [GO:0005622]"	""	"PF02518;PF00512;PF00989;PF08447;"	"ENOG4105BZU;COG0642;COG2202;"	"Bacteria"	""	"Firmicutes"	"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus subtilis group, Bacillus subtilis, Bacillus subtilis subsp. subtilis, Bacillus subtilis (strain 168)"	"type:5prime_partial"	"len:101"	"TRINITY_DN10154_c0_g1_TRINITY_DN10154_c0_g1_i1_g.887_m.887:1-303(+)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"TRINITY_DN10159_c0_g1_TRINITY_DN10159_c0_g1_i1_g.888_m.888"	"Gene.6478::TRINITY_DN10159_c0_g1_TRINITY_DN10159_c0_g1_i1_g.888_m.888::g.6478::m.6478"	"LIP_VIBCH"	34.87	195	111	6	1	182	115	306	5e-22	94.7	"P15493"	"reviewed"	"Lipase (EC 3.1.1.3) (Triacylglycerol lipase)"	"lipA hlyC VC_A0221"	"Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)"	312	"GO:0004806; GO:0016042; GO:0046872"	"metal ion binding [GO:0046872]; triglyceride lipase activity [GO:0004806]; lipid catabolic process [GO:0016042]"	"lipid catabolic process [GO:0016042]"	"metal ion binding [GO:0046872]; triglyceride lipase activity [GO:0004806]"	""	""	"PF00561;"	"ENOG4107IFA;COG1075;"	"Bacteria"	""	"Proteobacteria"	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio, Vibrio cholerae, Vibrio cholerae O1, Vibrio cholerae O1 biovar El Tor, Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)"	"type:internal"	"len:183"	"TRINITY_DN10159_c0_g1_TRINITY_DN10159_c0_g1_i1_g.888_m.888:546-1(-)"	"gi"	699056207	"gb"	"KGM41999.1"	"hypothetical protein JY96_07645 [Aquabacterium sp. NJ1]"	59.3	194	67	3	546	1	108	301	3.5e-53	216.5
"47"	"TRINITY_DN1019_c0_g1_TRINITY_DN1019_c0_g1_i1_g.102_m.102"	"Gene.8333::TRINITY_DN1019_c0_g1_TRINITY_DN1019_c0_g1_i1_g.102_m.102::g.8333::m.8333"	"ASSY_OCEIH"	24.72	89	62	1	54	142	331	414	0.014	38.1	"Q8ELT8"	"reviewed"	"Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)"	"argG OB3129"	"Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)"	417	"GO:0004055; GO:0005524; GO:0005737; GO:0006526"	"cytoplasm [GO:0005737]; argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]; arginine biosynthetic process [GO:0006526]"	"arginine biosynthetic process [GO:0006526]"	"argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]"	"cytoplasm [GO:0005737]"	"PTHR11587;"	"PF00764;"	"ENOG4105CDH;COG0137;"	"Bacteria"	""	"Firmicutes"	"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Oceanobacillus, Oceanobacillus iheyensis, Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)"	"type:internal"	"len:153"	"TRINITY_DN1019_c0_g1_TRINITY_DN1019_c0_g1_i1_g.102_m.102:1-456(+)"	"gi"	919002867	"ref"	"XP_013414633.1"	"PREDICTED: tensin-1-like isoform X1 [Lingula anatina]"	42	81	43	2	118	360	903	979	7e-07	62.4
"102"	"TRINITY_DN10249_c0_g1_TRINITY_DN10249_c0_g1_i1_g.907_m.907"	"Gene.7915::TRINITY_DN10249_c0_g1_TRINITY_DN10249_c0_g1_i1_g.907_m.907::g.7915::m.7915"	"Y2463_PECCP"	40	25	15	0	26	50	5	29	4.5	30.4	"C6DKP3"	"reviewed"	"UPF0061 protein PC1_2463"	"PC1_2463"	"Pectobacterium carotovorum subsp. carotovorum (strain PC1)"	483	""	""	""	""	""	""	"PF02696;"	"ENOG4105CNG;COG0397;"	"Bacteria"	""	"Proteobacteria"	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pectobacteriaceae, Pectobacterium, Pectobacterium carotovorum (Erwinia carotovora), Pectobacterium carotovorum subsp. carotovorum (Erwinia carotovora subsp. carotovora), Pectobacterium carotovorum subsp. carotovorum (strain PC1)"	"type:5prime_partial"	"len:128"	"TRINITY_DN10249_c0_g1_TRINITY_DN10249_c0_g1_i1_g.907_m.907:474-91(-)"	"gi"	260791080	"ref"	"XP_002590568.1"	"hypothetical protein BRAFLDRAFT_83797 [Branchiostoma floridae]"	28.8	177	106	3	4	474	246	422	2.8e-11	77
