"trinID"	"orfID"	"uniprotID"	"up.perct.id"	"up.alignment.length"	"up.mistmatches"	"up.gap.openings"	"up.q.start"	"up.q.end"	"up.s.start"	"up.s.end"	"up.e.value"	"up.bit.score"	"Entry"	"Status"	"Protein.names"	"Gene.names"	"Organism"	"Length"	"Gene.ontology.IDs"	"Gene.ontology..GO."	"Gene.ontology..biological.process."	"Gene.ontology..molecular.function."	"Gene.ontology..cellular.component."	"Cross.reference..PANTHER."	"Cross.reference..Pfam."	"Cross.reference..eggNOG."	"Taxonomic.lineage..SUPERKINGDOM."	"Taxonomic.lineage..KINGDOM."	"Taxonomic.lineage..PHYLUM."	"Taxonomic.lineage..all."	"type"	"len"	"strand"	"GI"	"Ginum"	"db"	"seqID"	"nr.annotation"	"nr.perct.id"	"nr.alignment.length"	"nr.mistmatches"	"nr.gap.openings"	"nr.q.start"	"nr.q.end"	"nr.s.start"	"nr.s.end"	"nr.e.value"	"nr.bit.score"
"144"	"TRINITY_DN10651_c0_g1_TRINITY_DN10651_c0_g1_i1_g.945_m.945"	"Gene.10018::TRINITY_DN10651_c0_g1_TRINITY_DN10651_c0_g1_i1_g.945_m.945::g.10018::m.10018"	"CHOD_MYCTU"	37.39	115	49	3	19	116	424	532	8e-09	57	"P9WMV9"	"reviewed"	"Cholesterol oxidase (EC 1.1.3.6) (Cholesterol isomerase) (EC 5.3.3.1)"	"choD Rv3409c"	"Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)"	578	"GO:0004769; GO:0006694; GO:0008203; GO:0009405; GO:0016995"	"cholesterol oxidase activity [GO:0016995]; steroid delta-isomerase activity [GO:0004769]; cholesterol metabolic process [GO:0008203]; pathogenesis [GO:0009405]; steroid biosynthetic process [GO:0006694]"	"cholesterol metabolic process [GO:0008203]; pathogenesis [GO:0009405]; steroid biosynthetic process [GO:0006694]"	"cholesterol oxidase activity [GO:0016995]; steroid delta-isomerase activity [GO:0004769]"	""	""	"PF05199;"	"ENOG4105C1T;COG2303;"	"Bacteria"	""	"Actinobacteria"	"cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria (high G+C Gram-positive bacteria), Corynebacteriales, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex, Mycobacterium tuberculosis, Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)"	"type:5prime_partial"	"len:134"	"TRINITY_DN10651_c0_g1_TRINITY_DN10651_c0_g1_i1_g.945_m.945:1-402(+)"	"gi"	390341855	"ref"	"XP_797018.3"	"PREDICTED: uncharacterized protein LOC592399 [Strongylocentrotus purpuratus]"	60.8	125	49	0	1	375	477	601	1.7e-36	160.6
"5568"	"TRINITY_DN21690_c0_g1_TRINITY_DN21690_c0_g1_i1_g.2078_m.2078"	"Gene.11526::TRINITY_DN21690_c0_g1_TRINITY_DN21690_c0_g1_i1_g.2078_m.2078::g.11526::m.11526"	"CR1BD_BACTZ"	29.73	37	26	0	26	62	210	246	7.2	29.6	"Q9ZAZ5"	"reviewed"	"Pesticidal crystal protein Cry1Bd (140 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIB(d))"	"cry1Bd cryE1 cryIB(d) cryLA1"	"Bacillus thuringiensis subsp. wuhanensis"	1231	"GO:0006952; GO:0009405; GO:0030435"	"defense response [GO:0006952]; pathogenesis [GO:0009405]; sporulation resulting in formation of a cellular spore [GO:0030435]"	"defense response [GO:0006952]; pathogenesis [GO:0009405]; sporulation resulting in formation of a cellular spore [GO:0030435]"	""	""	""	"PF03944;PF00555;PF03945;"	""	"Bacteria"	""	"Firmicutes"	"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group, Bacillus thuringiensis, Bacillus thuringiensis subsp. wuhanensis"	"type:5prime_partial"	"len:122"	"TRINITY_DN21690_c0_g1_TRINITY_DN21690_c0_g1_i1_g.2078_m.2078:1-366(+)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24427"	"TRINITY_DN27460_c0_g1_TRINITY_DN27460_c0_g1_i1_g.2982_m.2982"	"Gene.6285::TRINITY_DN27460_c0_g1_TRINITY_DN27460_c0_g1_i1_g.2982_m.2982::g.6285::m.6285"	"NPIIC_ARTOC"	27.03	37	27	0	49	85	288	324	5.9	31.2	"C5FPC2"	"reviewed"	"Probable neutral protease 2 homolog MCYG_04257 (EC 3.4.24.39) (Deuterolysin MCYG_04257)"	"MCYG_04257"	"Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)"	360	"GO:0004222; GO:0005576; GO:0009405; GO:0046872"	"extracellular region [GO:0005576]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; pathogenesis [GO:0009405]"	"pathogenesis [GO:0009405]"	"metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]"	"extracellular region [GO:0005576]"	""	"PF02102;"	"ENOG410IKY5;ENOG4111FRE;"	"Eukaryota"	"Fungi"	"Ascomycota"	"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Onygenales, Arthrodermataceae (dermatophytes), Microsporum, Arthroderma otae (Microsporum canis), Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)"	"type:complete"	"len:185"	"TRINITY_DN27460_c0_g1_TRINITY_DN27460_c0_g1_i1_g.2982_m.2982:1-555(+)"	"gi"	919087910	"ref"	"XP_013381024.1"	"PREDICTED: uncharacterized protein LOC106152078 [Lingula anatina]"	38.5	104	58	4	244	549	56	155	3.1e-09	70.5
"24639"	"TRINITY_DN28014_c0_g1_TRINITY_DN28014_c0_g1_i1_g.3174_m.3174"	"Gene.7606::TRINITY_DN28014_c0_g1_TRINITY_DN28014_c0_g1_i1_g.3174_m.3174::g.7606::m.7606"	"CHOD_MYCTU"	36.52	115	70	3	49	162	190	302	7e-11	63.9	"P9WMV9"	"reviewed"	"Cholesterol oxidase (EC 1.1.3.6) (Cholesterol isomerase) (EC 5.3.3.1)"	"choD Rv3409c"	"Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)"	578	"GO:0004769; GO:0006694; GO:0008203; GO:0009405; GO:0016995"	"cholesterol oxidase activity [GO:0016995]; steroid delta-isomerase activity [GO:0004769]; cholesterol metabolic process [GO:0008203]; pathogenesis [GO:0009405]; steroid biosynthetic process [GO:0006694]"	"cholesterol metabolic process [GO:0008203]; pathogenesis [GO:0009405]; steroid biosynthetic process [GO:0006694]"	"cholesterol oxidase activity [GO:0016995]; steroid delta-isomerase activity [GO:0004769]"	""	""	"PF05199;"	"ENOG4105C1T;COG2303;"	"Bacteria"	""	"Actinobacteria"	"cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria (high G+C Gram-positive bacteria), Corynebacteriales, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex, Mycobacterium tuberculosis, Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)"	"type:internal"	"len:163"	"TRINITY_DN28014_c0_g1_TRINITY_DN28014_c0_g1_i1_g.3174_m.3174:1-486(+)"	"gi"	780090084	"ref"	"XP_011673917.1"	"PREDICTED: uncharacterized protein LOC100890044 [Strongylocentrotus purpuratus]"	56.4	163	69	2	1	486	301	462	3.2e-42	179.9
"25067"	"TRINITY_DN28843_c0_g1_TRINITY_DN28843_c0_g1_i1_g.3387_m.3387"	"Gene.14776::TRINITY_DN28843_c0_g1_TRINITY_DN28843_c0_g1_i1_g.3387_m.3387::g.14776::m.14776"	"MSP1_PLAYO"	46.43	28	15	0	61	88	771	798	4.4	29.6	"P13828"	"reviewed"	"Merozoite surface protein 1 (230 kDa merozoite surface antigen) (Py230) (Merozoite surface antigens) (PMMSA)"	"MSP-1 PY05748"	"Plasmodium yoelii yoelii"	1772	"GO:0005886; GO:0009405; GO:0031225"	"anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]; pathogenesis [GO:0009405]"	"pathogenesis [GO:0009405]"	""	"anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]"	""	"PF12947;PF12946;PF07462;"	""	"Eukaryota"	""	"Apicomplexa"	"cellular organisms, Eukaryota, Alveolata, Apicomplexa, Aconoidasida, Haemosporida (haemosporidians), Plasmodiidae, Plasmodium, Plasmodium (Vinckeia), Plasmodium yoelii, Plasmodium yoelii yoelii"	"type:internal"	"len:106"	"TRINITY_DN28843_c0_g1_TRINITY_DN28843_c0_g1_i1_g.3387_m.3387:317-3(-)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25574"	"TRINITY_DN29913_c0_g1_TRINITY_DN29913_c0_g1_i1_g.3668_m.3668"	"Gene.6687::TRINITY_DN29913_c0_g1_TRINITY_DN29913_c0_g1_i1_g.3668_m.3668::g.6687::m.6687"	"MSP1_PLAYO"	31.58	76	51	1	33	107	931	1006	0.94	33.5	"P13828"	"reviewed"	"Merozoite surface protein 1 (230 kDa merozoite surface antigen) (Py230) (Merozoite surface antigens) (PMMSA)"	"MSP-1 PY05748"	"Plasmodium yoelii yoelii"	1772	"GO:0005886; GO:0009405; GO:0031225"	"anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]; pathogenesis [GO:0009405]"	"pathogenesis [GO:0009405]"	""	"anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]"	""	"PF12947;PF12946;PF07462;"	""	"Eukaryota"	""	"Apicomplexa"	"cellular organisms, Eukaryota, Alveolata, Apicomplexa, Aconoidasida, Haemosporida (haemosporidians), Plasmodiidae, Plasmodium, Plasmodium (Vinckeia), Plasmodium yoelii, Plasmodium yoelii yoelii"	"type:5prime_partial"	"len:178"	"TRINITY_DN29913_c0_g1_TRINITY_DN29913_c0_g1_i1_g.3668_m.3668:1-534(+)"	"gi"	944650043	"gb"	"KQN01624.1"	"calcium-binding protein [Sphingomonas sp. Leaf230]"	65.8	79	27	0	289	525	64	142	1.2e-21	111.7
"31885"	"TRINITY_DN31410_c0_g1_TRINITY_DN31410_c0_g1_i2_g.4078_m.4078"	"Gene.6113::TRINITY_DN31410_c0_g1_TRINITY_DN31410_c0_g1_i2_g.4078_m.4078::g.6113::m.6113"	"GLIP1_HUMAN"	36.99	173	96	5	2	169	44	208	7e-29	113	"P48060"	"reviewed"	"Glioma pathogenesis-related protein 1 (GliPR 1) (Protein RTVP-1)"	"GLIPR1 GLIPR RTVP1"	"Homo sapiens (Human)"	266	"GO:0005576; GO:0005886; GO:0016020; GO:0016021; GO:0035577; GO:0043312"	"azurophil granule membrane [GO:0035577]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; neutrophil degranulation [GO:0043312]"	"neutrophil degranulation [GO:0043312]"	""	"azurophil granule membrane [GO:0035577]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]"	"PTHR10334;"	"PF00188;"	"KOG3017;COG2340;"	"Eukaryota"	"Metazoa"	"Chordata"	"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)"	"type:5prime_partial"	"len:189"	"TRINITY_DN31410_c0_g1_TRINITY_DN31410_c0_g1_i2_g.4078_m.4078:1-567(+)"	"gi"	762083267	"ref"	"XP_011424284.1"	"PREDICTED: GLIPR1-like protein 1 [Crassostrea gigas]"	32.4	170	100	5	1	510	7	161	2.3e-15	90.9
"31931"	"TRINITY_DN31580_c0_g1_TRINITY_DN31580_c0_g1_i3_g.4131_m.4131"	"Gene.3057::TRINITY_DN31580_c0_g1_TRINITY_DN31580_c0_g1_i3_g.4131_m.4131::g.3057::m.3057"	"TCNA_TRYCR"	40.24	82	26	6	14	74	1025	1104	0.23	33.5	"P23253"	"reviewed"	"Sialidase (EC 3.2.1.18) (Major surface antigen) (Neuraminidase) (NA)"	"TCNA"	"Trypanosoma cruzi"	1162	"GO:0005886; GO:0008152; GO:0009405; GO:0031225; GO:0052794; GO:0052795; GO:0052796"	"anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]; exo-alpha-(2->3)-sialidase activity [GO:0052794]; exo-alpha-(2->6)-sialidase activity [GO:0052795]; exo-alpha-(2->8)-sialidase activity [GO:0052796]; metabolic process [GO:0008152]; pathogenesis [GO:0009405]"	"metabolic process [GO:0008152]; pathogenesis [GO:0009405]"	"exo-alpha-(2->3)-sialidase activity [GO:0052794]; exo-alpha-(2->6)-sialidase activity [GO:0052795]; exo-alpha-(2->8)-sialidase activity [GO:0052796]"	"anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]"	"PTHR10628;"	"PF13859;"	""	"Eukaryota"	""	""	"cellular organisms, Eukaryota, Euglenozoa, Kinetoplastida (kinetoplasts), Trypanosomatidae, Trypanosoma, Schizotrypanum, Trypanosoma cruzi"	"type:5prime_partial"	"len:100"	"TRINITY_DN31580_c0_g1_TRINITY_DN31580_c0_g1_i3_g.4131_m.4131:2-301(+)"	"gi"	291231112	"ref"	"XP_002735509.1"	"PREDICTED: WW domain-containing transcription regulator protein 1-like [Saccoglossus kowalevskii]"	24.5	233	124	5	1	630	41	244	1.2e-07	65.9
"36312"	"TRINITY_DN32042_c0_g2_TRINITY_DN32042_c0_g2_i1_g.4304_m.4304"	"Gene.14747::TRINITY_DN32042_c0_g2_TRINITY_DN32042_c0_g2_i1_g.4304_m.4304::g.14747::m.14747"	"CR1AA_BACTA"	35.85	53	26	1	6	50	535	587	2	30.8	"P0A367"	"reviewed"	"Pesticidal crystal protein Cry1Aa (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(a))"	"cry1Aa cry-1-1 cry1A(a) cryA crybns3-1 cryIA(a) icp"	"Bacillus thuringiensis subsp. aizawai"	1176	"GO:0006952; GO:0009405; GO:0030435"	"defense response [GO:0006952]; pathogenesis [GO:0009405]; sporulation resulting in formation of a cellular spore [GO:0030435]"	"defense response [GO:0006952]; pathogenesis [GO:0009405]; sporulation resulting in formation of a cellular spore [GO:0030435]"	""	""	""	"PF03944;PF00555;PF03945;"	""	"Bacteria"	""	"Firmicutes"	"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group, Bacillus thuringiensis, Bacillus thuringiensis subsp. aizawai"	"type:5prime_partial"	"len:106"	"TRINITY_DN32042_c0_g2_TRINITY_DN32042_c0_g2_i1_g.4304_m.4304:1-318(+)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36498"	"TRINITY_DN32624_c0_g1_TRINITY_DN32624_c0_g1_i1_g.4438_m.4438"	"Gene.14770::TRINITY_DN32624_c0_g1_TRINITY_DN32624_c0_g1_i1_g.4438_m.4438::g.14770::m.14770"	"SOD5_ARTBC"	32.31	65	36	2	33	97	193	249	0.009	37.7	"D4B5D4"	"reviewed"	"Cell surface Cu-only superoxide dismutase ARB_03674 (EC 1.15.1.1)"	"ARB_03674"	"Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)"	373	"GO:0004784; GO:0005576; GO:0005618; GO:0005886; GO:0009405; GO:0031225; GO:0046872"	"anchored component of membrane [GO:0031225]; cell wall [GO:0005618]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]; pathogenesis [GO:0009405]"	"pathogenesis [GO:0009405]"	"metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]"	"anchored component of membrane [GO:0031225]; cell wall [GO:0005618]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]"	""	""	"ENOG410J02N;ENOG4111R1X;"	"Eukaryota"	"Fungi"	"Ascomycota"	"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Onygenales, Arthrodermataceae (dermatophytes), Trichophyton, Arthroderma benhamiae (Trichophyton mentagrophytes), Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)"	"type:internal"	"len:107"	"TRINITY_DN32624_c0_g1_TRINITY_DN32624_c0_g1_i1_g.4438_m.4438:1-318(+)"	"gi"	780164619	"ref"	"XP_011683597.1"	"PREDICTED: uncharacterized protein LOC582736, partial [Strongylocentrotus purpuratus]"	44.3	106	58	1	4	318	481	586	1.2e-21	110.9
