"trinID"	"orfID"	"uniprotID"	"up.perct.id"	"up.alignment.length"	"up.mistmatches"	"up.gap.openings"	"up.q.start"	"up.q.end"	"up.s.start"	"up.s.end"	"up.e.value"	"up.bit.score"	"Entry"	"Status"	"Protein.names"	"Gene.names"	"Organism"	"Length"	"Gene.ontology.IDs"	"Gene.ontology..GO."	"Gene.ontology..biological.process."	"Gene.ontology..molecular.function."	"Gene.ontology..cellular.component."	"Cross.reference..PANTHER."	"Cross.reference..Pfam."	"Cross.reference..eggNOG."	"Taxonomic.lineage..SUPERKINGDOM."	"Taxonomic.lineage..KINGDOM."	"Taxonomic.lineage..PHYLUM."	"Taxonomic.lineage..all."	"type"	"len"	"strand"	"GI"	"Ginum"	"db"	"seqID"	"nr.annotation"	"nr.perct.id"	"nr.alignment.length"	"nr.mistmatches"	"nr.gap.openings"	"nr.q.start"	"nr.q.end"	"nr.s.start"	"nr.s.end"	"nr.e.value"	"nr.bit.score"
"296"	"TRINITY_DN11159_c0_g1_TRINITY_DN11159_c0_g1_i1_g.981_m.981"	"Gene.6924::TRINITY_DN11159_c0_g1_TRINITY_DN11159_c0_g1_i1_g.981_m.981::g.6924::m.6924"	"MYO1F_MOUSE"	72.83	173	47	0	1	173	487	659	2e-88	285	"P70248"	"reviewed"	"Unconventional myosin-If"	"Myo1f"	"Mus musculus (Mouse)"	1099	"GO:0002446; GO:0003774; GO:0005524; GO:0007162; GO:0016459; GO:0030335; GO:0030864; GO:0031941; GO:0032956; GO:0043312; GO:0045088; GO:0050830"	"cortical actin cytoskeleton [GO:0030864]; filamentous actin [GO:0031941]; myosin complex [GO:0016459]; ATP binding [GO:0005524]; motor activity [GO:0003774]; defense response to Gram-positive bacterium [GO:0050830]; negative regulation of cell adhesion [GO:0007162]; neutrophil degranulation [GO:0043312]; neutrophil mediated immunity [GO:0002446]; positive regulation of cell migration [GO:0030335]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of innate immune response [GO:0045088]"	"defense response to Gram-positive bacterium [GO:0050830]; negative regulation of cell adhesion [GO:0007162]; neutrophil degranulation [GO:0043312]; neutrophil mediated immunity [GO:0002446]; positive regulation of cell migration [GO:0030335]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of innate immune response [GO:0045088]"	"ATP binding [GO:0005524]; motor activity [GO:0003774]"	"cortical actin cytoskeleton [GO:0030864]; filamentous actin [GO:0031941]; myosin complex [GO:0016459]"	""	"PF00063;PF06017;PF14604;"	""	"Eukaryota"	"Metazoa"	"Chordata"	"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Sciurognathi, Muroidea, Muridae, Murinae, Mus, Mus, Mus musculus (Mouse)"	"type:internal"	"len:174"	"TRINITY_DN11159_c0_g1_TRINITY_DN11159_c0_g1_i1_g.981_m.981:1-519(+)"	"gi"	8050649	"gb"	"AAF71717.1"	"amoeboid myosin I [Strongylocentrotus purpuratus]"	77.5	173	39	0	1	519	482	654	2.8e-76	293.1
"322"	"TRINITY_DN11445_c0_g1_TRINITY_DN11445_c0_g1_i1_g.1000_m.1000"	"Gene.15502::TRINITY_DN11445_c0_g1_TRINITY_DN11445_c0_g1_i1_g.1000_m.1000::g.15502::m.15502"	"SHP2B_DANRE"	30.3	99	63	2	1	93	100	198	2e-04	42.7	"Q2I6J0"	"reviewed"	"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2B (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1B) (INPPL-1B) (SH2 domain-containing inositol 5'-phosphatase 2B) (SH2 domain-containing inositol phosphatase 2B) (SHIP-2B)"	"inppl1b inppl1 ship2b"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	1226	"GO:0002376; GO:0005829; GO:0005856; GO:0007155; GO:0016020; GO:0016787; GO:0030027; GO:0030175; GO:0046856"	"cytoskeleton [GO:0005856]; cytosol [GO:0005829]; filopodium [GO:0030175]; lamellipodium [GO:0030027]; membrane [GO:0016020]; hydrolase activity [GO:0016787]; cell adhesion [GO:0007155]; immune system process [GO:0002376]; phosphatidylinositol dephosphorylation [GO:0046856]"	"cell adhesion [GO:0007155]; immune system process [GO:0002376]; phosphatidylinositol dephosphorylation [GO:0046856]"	"hydrolase activity [GO:0016787]"	"cytoskeleton [GO:0005856]; cytosol [GO:0005829]; filopodium [GO:0030175]; lamellipodium [GO:0030027]; membrane [GO:0016020]"	""	"PF00536;PF00017;"	"KOG0565;COG5411;"	"Eukaryota"	"Metazoa"	"Chordata"	"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Cypriniphysae, Cypriniformes, Cyprinoidea, Cyprinidae, Danio, Danio rerio (Zebrafish) (Brachydanio rerio)"	"type:internal"	"len:105"	"TRINITY_DN11445_c0_g1_TRINITY_DN11445_c0_g1_i1_g.1000_m.1000:1-312(+)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"373"	"TRINITY_DN12086_c0_g1_TRINITY_DN12086_c0_g1_i1_g.1051_m.1051"	"Gene.9765::TRINITY_DN12086_c0_g1_TRINITY_DN12086_c0_g1_i1_g.1051_m.1051::g.9765::m.9765"	"RAG1_MOUSE"	29.94	157	80	7	1	130	161	314	2e-06	49.7	"P15919"	"reviewed"	"V(D)J recombination-activating protein 1 (RAG-1) [Includes: Endonuclease RAG1 (EC 3.1.-.-); E3 ubiquitin-protein ligase RAG1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAG1)]"	"Rag1"	"Mus musculus (Mouse)"	1040	"GO:0002250; GO:0002331; GO:0004519; GO:0004842; GO:0005634; GO:0005654; GO:0006310; GO:0008270; GO:0010390; GO:0030183; GO:0033077; GO:0033151; GO:0042393; GO:0042803; GO:0043029; GO:0043154; GO:0043565; GO:0045580; GO:0045582; GO:0046872; GO:0048538; GO:0051865; GO:0061630; GO:0070233; GO:0070244"	"nucleoplasm [GO:0005654]; nucleus [GO:0005634]; endonuclease activity [GO:0004519]; histone binding [GO:0042393]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; sequence-specific DNA binding [GO:0043565]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; adaptive immune response [GO:0002250]; B cell differentiation [GO:0030183]; DNA recombination [GO:0006310]; histone monoubiquitination [GO:0010390]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of T cell apoptotic process [GO:0070233]; negative regulation of thymocyte apoptotic process [GO:0070244]; positive regulation of T cell differentiation [GO:0045582]; pre-B cell allelic exclusion [GO:0002331]; protein autoubiquitination [GO:0051865]; regulation of T cell differentiation [GO:0045580]; T cell differentiation in thymus [GO:0033077]; T cell homeostasis [GO:0043029]; thymus development [GO:0048538]; V(D)J recombination [GO:0033151]"	"adaptive immune response [GO:0002250]; B cell differentiation [GO:0030183]; DNA recombination [GO:0006310]; histone monoubiquitination [GO:0010390]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of T cell apoptotic process [GO:0070233]; negative regulation of thymocyte apoptotic process [GO:0070244]; positive regulation of T cell differentiation [GO:0045582]; pre-B cell allelic exclusion [GO:0002331]; protein autoubiquitination [GO:0051865]; regulation of T cell differentiation [GO:0045580]; T cell differentiation in thymus [GO:0033077]; T cell homeostasis [GO:0043029]; thymus development [GO:0048538]; V(D)J recombination [GO:0033151]"	"endonuclease activity [GO:0004519]; histone binding [GO:0042393]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; sequence-specific DNA binding [GO:0043565]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]"	"nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"PTHR11539;"	"PF12940;PF00097;PF10426;"	"ENOG410IKNG;ENOG4110KH0;"	"Eukaryota"	"Metazoa"	"Chordata"	"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Sciurognathi, Muroidea, Muridae, Murinae, Mus, Mus, Mus musculus (Mouse)"	"type:internal"	"len:137"	"TRINITY_DN12086_c0_g1_TRINITY_DN12086_c0_g1_i1_g.1051_m.1051:1-408(+)"	"gi"	682022402	"gb"	"AIN25373.1"	"recombination activating protein 1, partial [Afroedura multiporis]"	28.5	158	81	6	1	390	123	276	1.3e-07	64.7
"439"	"TRINITY_DN12834_c0_g1_TRINITY_DN12834_c0_g1_i1_g.1116_m.1116"	"Gene.15791::TRINITY_DN12834_c0_g1_TRINITY_DN12834_c0_g1_i1_g.1116_m.1116::g.15791::m.15791"	"LAMB1_DROME"	35	100	56	4	7	97	1014	1113	3e-06	48.5	"P11046"	"reviewed"	"Laminin subunit beta-1 (Laminin B1 chain)"	"LanB1 lamB1 CG7123"	"Drosophila melanogaster (Fruit fly)"	1788	"GO:0003143; GO:0005604; GO:0005605; GO:0008406; GO:0012505; GO:0016477; GO:0030198; GO:0031012; GO:0033627; GO:0034446; GO:0045089; GO:0048513; GO:0050829; GO:0055013; GO:0070831"	"basal lamina [GO:0005605]; basement membrane [GO:0005604]; endomembrane system [GO:0012505]; extracellular matrix [GO:0031012]; animal organ development [GO:0048513]; basement membrane assembly [GO:0070831]; cardiac muscle cell development [GO:0055013]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; defense response to Gram-negative bacterium [GO:0050829]; embryonic heart tube morphogenesis [GO:0003143]; extracellular matrix organization [GO:0030198]; gonad development [GO:0008406]; positive regulation of innate immune response [GO:0045089]; substrate adhesion-dependent cell spreading [GO:0034446]"	"animal organ development [GO:0048513]; basement membrane assembly [GO:0070831]; cardiac muscle cell development [GO:0055013]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; defense response to Gram-negative bacterium [GO:0050829]; embryonic heart tube morphogenesis [GO:0003143]; extracellular matrix organization [GO:0030198]; gonad development [GO:0008406]; positive regulation of innate immune response [GO:0045089]; substrate adhesion-dependent cell spreading [GO:0034446]"	""	"basal lamina [GO:0005605]; basement membrane [GO:0005604]; endomembrane system [GO:0012505]; extracellular matrix [GO:0031012]"	""	"PF00053;PF00055;"	"KOG0994;ENOG410XPEG;"	"Eukaryota"	"Metazoa"	"Arthropoda"	"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Sophophora, melanogaster group, melanogaster subgroup, Drosophila melanogaster (Fruit fly)"	"type:internal"	"len:103"	"TRINITY_DN12834_c0_g1_TRINITY_DN12834_c0_g1_i1_g.1116_m.1116:1-306(+)"	"gi"	321474022	"gb"	"EFX84988.1"	"hypothetical protein DAPPUDRAFT_300823 [Daphnia pulex]"	37.1	116	25	1	103	306	771	886	1.6e-15	90.5
"460"	"TRINITY_DN12927_c1_g1_TRINITY_DN12927_c1_g1_i1_g.1120_m.1120"	"Gene.12822::TRINITY_DN12927_c1_g1_TRINITY_DN12927_c1_g1_i1_g.1120_m.1120::g.12822::m.12822"	"C4BPA_RAT"	32.73	55	34	1	61	115	441	492	0.023	36.6	"Q63514"	"reviewed"	"C4b-binding protein alpha chain (C4bp)"	"C4bpa"	"Rattus norvegicus (Rat)"	558	"GO:0001848; GO:0005576; GO:0006955; GO:0006958; GO:0045087"	"extracellular region [GO:0005576]; complement binding [GO:0001848]; complement activation, classical pathway [GO:0006958]; immune response [GO:0006955]; innate immune response [GO:0045087]"	"complement activation, classical pathway [GO:0006958]; immune response [GO:0006955]; innate immune response [GO:0045087]"	"complement binding [GO:0001848]"	"extracellular region [GO:0005576]"	""	"PF00084;"	"ENOG410IF12;ENOG410XPJ1;"	"Eukaryota"	"Metazoa"	"Chordata"	"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Sciurognathi, Muroidea, Muridae, Murinae, Rattus, Rattus norvegicus (Rat)"	"type:internal"	"len:116"	"TRINITY_DN12927_c1_g1_TRINITY_DN12927_c1_g1_i1_g.1120_m.1120:1-345(+)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"498"	"TRINITY_DN1315_c0_g1_TRINITY_DN1315_c0_g1_i1_g.122_m.122"	"Gene.5440::TRINITY_DN1315_c0_g1_TRINITY_DN1315_c0_g1_i1_g.122_m.122::g.5440::m.5440"	"PIBF1_HUMAN"	50.73	205	101	0	1	205	323	527	2e-59	203	"Q8WXW3"	"reviewed"	"Progesterone-induced-blocking factor 1 (PIBF) (Centrosomal protein of 90 kDa) (CEP90)"	"PIBF1 C13orf24 PIBF"	"Homo sapiens (Human)"	757	"GO:0002376; GO:0005136; GO:0005615; GO:0005634; GO:0005654; GO:0005813; GO:0005815; GO:0005829; GO:0007080; GO:0010531; GO:0031393; GO:0032695; GO:0032733; GO:0032815; GO:0034451; GO:0042521; GO:0042526; GO:0071539; GO:0090307; GO:1905515"	"centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cytosol [GO:0005829]; extracellular space [GO:0005615]; microtubule organizing center [GO:0005815]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; interleukin-4 receptor binding [GO:0005136]; activation of JAK1 kinase activity [GO:0010531]; immune system process [GO:0002376]; mitotic metaphase plate congression [GO:0007080]; mitotic spindle assembly [GO:0090307]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of natural killer cell activation [GO:0032815]; negative regulation of prostaglandin biosynthetic process [GO:0031393]; negative regulation of tyrosine phosphorylation of Stat4 protein [GO:0042521]; non-motile cilium assembly [GO:1905515]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of tyrosine phosphorylation of Stat6 protein [GO:0042526]; protein localization to centrosome [GO:0071539]"	"activation of JAK1 kinase activity [GO:0010531]; immune system process [GO:0002376]; mitotic metaphase plate congression [GO:0007080]; mitotic spindle assembly [GO:0090307]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of natural killer cell activation [GO:0032815]; negative regulation of prostaglandin biosynthetic process [GO:0031393]; negative regulation of tyrosine phosphorylation of Stat4 protein [GO:0042521]; non-motile cilium assembly [GO:1905515]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of tyrosine phosphorylation of Stat6 protein [GO:0042526]; protein localization to centrosome [GO:0071539]"	"interleukin-4 receptor binding [GO:0005136]"	"centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cytosol [GO:0005829]; extracellular space [GO:0005615]; microtubule organizing center [GO:0005815]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"PTHR18950;"	""	"ENOG410IFCG;ENOG410YQJ9;"	"Eukaryota"	"Metazoa"	"Chordata"	"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)"	"type:internal"	"len:206"	"TRINITY_DN1315_c0_g1_TRINITY_DN1315_c0_g1_i1_g.122_m.122:1-615(+)"	"gi"	390340320	"ref"	"XP_792266.3"	"PREDICTED: progesterone-induced-blocking factor 1 isoform X1 [Strongylocentrotus purpuratus]"	48.3	203	105	0	7	615	335	537	6e-46	192.6
"521"	"TRINITY_DN13432_c0_g1_TRINITY_DN13432_c0_g1_i1_g.1166_m.1166"	"Gene.11712::TRINITY_DN13432_c0_g1_TRINITY_DN13432_c0_g1_i1_g.1166_m.1166::g.11712::m.11712"	"TR10B_MOUSE"	46.67	45	23	1	3	47	126	169	0.006	38.5	"Q9QZM4"	"reviewed"	"Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (MK) (CD antigen CD262)"	"Tnfrsf10b Dr5 Killer"	"Mus musculus (Mouse)"	381	"GO:0002020; GO:0005031; GO:0005622; GO:0005887; GO:0006919; GO:0006954; GO:0006955; GO:0007275; GO:0008134; GO:0008584; GO:0009986; GO:0014070; GO:0032496; GO:0034976; GO:0036462; GO:0042127; GO:0042981; GO:0070059; GO:0097190; GO:0097191"	"cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; intracellular [GO:0005622]; protease binding [GO:0002020]; transcription factor binding [GO:0008134]; tumor necrosis factor-activated receptor activity [GO:0005031]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic signaling pathway [GO:0097190]; extrinsic apoptotic signaling pathway [GO:0097191]; immune response [GO:0006955]; inflammatory response [GO:0006954]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; male gonad development [GO:0008584]; multicellular organism development [GO:0007275]; regulation of apoptotic process [GO:0042981]; regulation of cell proliferation [GO:0042127]; response to endoplasmic reticulum stress [GO:0034976]; response to lipopolysaccharide [GO:0032496]; response to organic cyclic compound [GO:0014070]; TRAIL-activated apoptotic signaling pathway [GO:0036462]"	"activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic signaling pathway [GO:0097190]; extrinsic apoptotic signaling pathway [GO:0097191]; immune response [GO:0006955]; inflammatory response [GO:0006954]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; male gonad development [GO:0008584]; multicellular organism development [GO:0007275]; regulation of apoptotic process [GO:0042981]; regulation of cell proliferation [GO:0042127]; response to endoplasmic reticulum stress [GO:0034976]; response to lipopolysaccharide [GO:0032496]; response to organic cyclic compound [GO:0014070]; TRAIL-activated apoptotic signaling pathway [GO:0036462]"	"protease binding [GO:0002020]; transcription factor binding [GO:0008134]; tumor necrosis factor-activated receptor activity [GO:0005031]"	"cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; intracellular [GO:0005622]"	""	"PF00531;PF00020;"	"ENOG410IZX0;ENOG4111ZZM;"	"Eukaryota"	"Metazoa"	"Chordata"	"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Sciurognathi, Muroidea, Muridae, Murinae, Mus, Mus, Mus musculus (Mouse)"	"type:internal"	"len:122"	"TRINITY_DN13432_c0_g1_TRINITY_DN13432_c0_g1_i1_g.1166_m.1166:1-363(+)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"556"	"TRINITY_DN13783_c0_g1_TRINITY_DN13783_c0_g1_i2_g.1197_m.1197"	"Gene.15410::TRINITY_DN13783_c0_g1_TRINITY_DN13783_c0_g1_i2_g.1197_m.1197::g.15410::m.15410"	"AGRE1_RAT"	32.14	84	57	0	5	88	650	733	7e-08	53.5	"Q5Y4N8"	"reviewed"	"Adhesion G protein-coupled receptor E2 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor)"	"Adgre1 Emr1"	"Rattus norvegicus (Rat)"	932	"GO:0002250; GO:0004930; GO:0005509; GO:0007166; GO:0009897; GO:0016021"	"external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; G-protein coupled receptor activity [GO:0004930]; adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166]"	"adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166]"	"calcium ion binding [GO:0005509]; G-protein coupled receptor activity [GO:0004930]"	"external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]"	""	"PF00002;PF12662;PF07645;PF01825;"	"KOG4193;ENOG410XSD2;"	"Eukaryota"	"Metazoa"	"Chordata"	"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Sciurognathi, Muroidea, Muridae, Murinae, Rattus, Rattus norvegicus (Rat)"	"type:internal"	"len:105"	"TRINITY_DN13783_c0_g1_TRINITY_DN13783_c0_g1_i2_g.1197_m.1197:1-312(+)"	"gi"	17367703	"sp"	"Q9GT50.2"	"RecName: Full=G-protein coupled receptor Mth"	38.8	85	51	1	34	288	226	309	3.4e-05	56.2
"2740"	"TRINITY_DN14276_c0_g1_TRINITY_DN14276_c0_g1_i1_g.1227_m.1227"	"Gene.5156::TRINITY_DN14276_c0_g1_TRINITY_DN14276_c0_g1_i1_g.1227_m.1227::g.5156::m.5156"	"RPC1_BOVIN"	62.62	214	79	1	1	213	834	1047	4e-83	274	"A4IF62"	"reviewed"	"DNA-directed RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (EC 2.7.7.6) (DNA-directed RNA polymerase III subunit A)"	"POLR3A"	"Bos taurus (Bovine)"	1390	"GO:0003677; GO:0003682; GO:0003899; GO:0005666; GO:0006383; GO:0016020; GO:0032728; GO:0045087; GO:0046872; GO:0051607; GO:1903146; GO:1903955"	"DNA-directed RNA polymerase III complex [GO:0005666]; membrane [GO:0016020]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of protein targeting to mitochondrion [GO:1903955]; regulation of mitophagy [GO:1903146]; transcription from RNA polymerase III promoter [GO:0006383]"	"defense response to virus [GO:0051607]; innate immune response [GO:0045087]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of protein targeting to mitochondrion [GO:1903955]; regulation of mitophagy [GO:1903146]; transcription from RNA polymerase III promoter [GO:0006383]"	"chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]"	"DNA-directed RNA polymerase III complex [GO:0005666]; membrane [GO:0016020]"	""	"PF04997;PF00623;PF04983;PF05000;PF04998;"	"KOG0260;COG0086;"	"Eukaryota"	"Metazoa"	"Chordata"	"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Cetartiodactyla, Ruminantia, Pecora, Bovidae, Bovinae, Bos (oxen, cattle), Bos taurus (Bovine)"	"type:internal"	"len:214"	"TRINITY_DN14276_c0_g1_TRINITY_DN14276_c0_g1_i1_g.1227_m.1227:1-639(+)"	"gi"	780127312	"ref"	"XP_011678790.1"	"PREDICTED: DNA-directed RNA polymerase III subunit RPC1-like [Strongylocentrotus purpuratus]"	65.4	211	73	0	1	633	809	1019	9.3e-74	285
"2791"	"TRINITY_DN14806_c0_g1_TRINITY_DN14806_c0_g1_i1_g.1265_m.1265"	"Gene.5014::TRINITY_DN14806_c0_g1_TRINITY_DN14806_c0_g1_i1_g.1265_m.1265::g.5014::m.5014"	"GLR33_ARATH"	38.1	42	26	0	169	210	8	49	3.3	32.3	"Q9C8E7"	"reviewed"	"Glutamate receptor 3.3 (Ligand-gated ion channel 3.3)"	"GLR3.3 At1g42540 T8D8.1"	"Arabidopsis thaliana (Mouse-ear cress)"	933	"GO:0004970; GO:0005262; GO:0005622; GO:0005886; GO:0006816; GO:0008066; GO:0009611; GO:0009630; GO:0009864; GO:0016021; GO:0019722; GO:0045087; GO:0050832; GO:0071230"	"integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium channel activity [GO:0005262]; glutamate receptor activity [GO:0008066]; ionotropic glutamate receptor activity [GO:0004970]; calcium ion transport [GO:0006816]; calcium-mediated signaling [GO:0019722]; cellular response to amino acid stimulus [GO:0071230]; defense response to fungus [GO:0050832]; gravitropism [GO:0009630]; induced systemic resistance, jasmonic acid mediated signaling pathway [GO:0009864]; innate immune response [GO:0045087]; response to wounding [GO:0009611]"	"calcium ion transport [GO:0006816]; calcium-mediated signaling [GO:0019722]; cellular response to amino acid stimulus [GO:0071230]; defense response to fungus [GO:0050832]; gravitropism [GO:0009630]; induced systemic resistance, jasmonic acid mediated signaling pathway [GO:0009864]; innate immune response [GO:0045087]; response to wounding [GO:0009611]"	"calcium channel activity [GO:0005262]; glutamate receptor activity [GO:0008066]; ionotropic glutamate receptor activity [GO:0004970]"	"integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]"	""	"PF01094;PF00060;PF00497;"	"ENOG410ISR9;ENOG410YYDD;"	"Eukaryota"	"Viridiplantae"	"Streptophyta"	"cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliophyta, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids, malvids, Brassicales, Brassicaceae, Camelineae, Arabidopsis, Arabidopsis thaliana (Mouse-ear cress)"	"type:internal"	"len:219"	"TRINITY_DN14806_c0_g1_TRINITY_DN14806_c0_g1_i1_g.1265_m.1265:1-654(+)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
